Surname	First	D.O.B.	Uni#	Bats	Throws	Position
KLEIDON	Brendan	13/08/80	3	R	R	INF
NILSSON	Jay	1/11/87	8	R	R	INF
VEITCH	John	23/01/78	9	R	R	RHP
LOETZSCH	Tristan	24/07/86	11	R	R	RHP
ROOKE	Jacob	19/09/88	15	R	R	UTL
SCHEONBERGER	Alan	19/01/89	16	S	R	Inf/Out
RONEBERG	Brett	5/02/79	19	L	L	1B/OF
UTTING	Andrew	9/09/77	20	S	R	UTL
CRAWFORD	Tristan	22/07/82	21	R	R	RHP
NAYLOR	Drew	31/05/86	24	R	R	RHP
NAUGHTON	Joel	27/08/86	25	L	R	C/3B
DUTTON	Brad	11/05/82	28	R	R	INF
COCO	Matthew	10/02/83	33	R	R	UTL
MOWDAY	Chris	24/08/81	34	R	R	RHP
ALBURY	James	1/04/86	37	R	R	RHP
STOCKMAN	Phil	25/01/80	39	R	R	RHP
BEVIS	PJ	28/07/80	40	R	R	RHP
SUTHERLAND	David	2/05/85	43	L	L	1B/OF
BATES	Matthew	17/10/84	44	R	R	RHP
OUGH	Wayne	27/11/78	48	R	R	RHP
ROBERTS	Josh	17/07/86	52	L	R	C/OF
